sku,name,category,description,price,stock,image_url
0011,เครื่องทำกาแฟเย็น,อุปกรณ์ชงกาแฟ,เครื่องทำกาแฟเย็นแบบแก้วขนาด 1 ควอร์ตพร้อมตัวกรองตาข่ายละเอียด ทำกาแฟเข้มข้นที่นุ่มนวลและมีกรดต่ำ พอดีกับประตูตู้เย็นส่วนใหญ่เพื่อประหยัดพื้นที่ในการชง,39.99,20,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-UDEbdyihNuqZ54i7l3FoEUiq.png?st=2024-09-24T01%3A44%3A52Z&se=2024-09-24T03%3A44%3A52Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A12%3A25Z&ske=2024-09-24T23%3A12%3A25Z&sks=b&skv=2024-08-04&sig=tMKUoq4N4Ot/ttVdsGuSr3MCkkbWZakCrJFCCSxoPyc%3D
0012,ชุดถ้วยเอสเพรสโซ่,ภาชนะดื่ม,ชุดถ้วยเอสเพรสโซ่พอร์ซเลน 4 ใบ (2.5 ออนซ์) พร้อมจานรอง ผนังหนาเพื่อรักษาความร้อนและรูปทรงโค้งมนเพื่อรักษาครีมา ดีไซน์ทันสมัยสวยงาม,29.99,25,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-k4m3QnDOMvaHgwoakMPI3XXv.png?st=2024-09-24T01%3A45%3A04Z&se=2024-09-24T03%3A45%3A04Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A15%3A46Z&ske=2024-09-24T23%3A15%3A46Z&sks=b&skv=2024-08-04&sig=BjPd%2BkNHNdoQ6k6JVklmugioUbFSfP8jMegAmbgTqxk%3D
0013,ดาร์ก โรสต์ เบลนด์,เมล็ดกาแฟ,ส่วนผสมคั่วเข้มที่หนักแน่นและเข้มข้น ผสมผสานเมล็ดกาแฟจากอินโดนีเซียและอเมริกากลาง มีโน้ตของดาร์กช็อกโกแลตและกลิ่นรมควันพร้อมรสชาติที่นุ่มนวล,11.99,60,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-CPJntQUbKC8VyIVMcrhtXvY8.png?st=2024-09-24T01%3A45%3A17Z&se=2024-09-24T03%3A45%3A17Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-24T00%3A01%3A00Z&ske=2024-09-25T00%3A01%3A00Z&sks=b&skv=2024-08-04&sig=NdzhK8IZu/%2BIBw%2B5IECWPuuDdiR9eBFit5n3lilJyOs%3D
0014,กระดาษกรองกาแฟ,อุปกรณ์เสริม,แพ็ค 100 ชิ้นของกระดาษกรองที่ไม่ได้ฟอกขาว ผ่านการทำความสะอาดด้วยออกซิเจน ออกแบบมาสำหรับการชงแบบพอร์โอเวอร์ สีน้ำตาลธรรมชาติ ปราศจากคลอรีน และย่อยสลายได้,5.99,200,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-Rico1Yr8HkS1cnvCbQZaVf1D.png?st=2024-09-24T01%3A45%3A29Z&se=2024-09-24T03%3A45%3A29Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-24T00%3A40%3A42Z&ske=2024-09-25T00%3A40%3A42Z&sks=b&skv=2024-08-04&sig=mg5GxQO%2BWGWrpTlL2hHUcUtt5gw7GeKz0P6NEUMgERc%3D
0015,เครื่องตีฟองนม,อุปกรณ์เสริม,เครื่องตีฟองนมไฟฟ้าแบบมือถือพร้อมมอเตอร์ที่ทรงพลัง สร้างฟองนมที่ข้นครีมีในไม่กี่วินาที หัวตีและก้านทำจากสแตนเลสสตีล มาพร้อมขาตั้งสำหรับจัดเก็บอย่างง่ายดาย,14.99,40,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-m2vp41tBng9rHSNUYX9DHtU8.png?st=2024-09-24T01%3A45%3A41Z&se=2024-09-24T03%3A45%3A41Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A18%3A14Z&ske=2024-09-24T23%3A18%3A14Z&sks=b&skv=2024-08-04&sig=AZvnanA6v09VlEL0RtJjT4wUBhjJNf0y96JysCAS/yM%3D
0016,กระป๋องเก็บกาแฟ,อุปกรณ์เสริม,กระป๋องเก็บกาแฟแบบปิดสนิทที่มีความจุสำหรับเมล็ดกาแฟ 1 ปอนด์ มีวาล์วปล่อย CO2 เพื่อป้องกันการออกซิเดชัน ล้อปฏิทินสำหรับติดตามความสด,24.99,30,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-QuDEXEUTVPIklWFA1HrVKl9r.png?st=2024-09-24T01%3A45%3A53Z&se=2024-09-24T03%3A45%3A53Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A14%3A08Z&ske=2024-09-24T23%3A14%3A08Z&sks=b&skv=2024-08-04&sig=EEVIeeE/ILbiWYCtyBJd9BWSI/BLYMkblM4Cv7EeEWg%3D
0017,ชุดถ้วยคาปูชิโน,ภาชนะดื่ม,ชุดถ้วยคาปูชิโนแก้วสองชั้น 4 ใบ (6 ออนซ์) รักษาความร้อนของกาแฟในขณะที่ยังเย็นเมื่อสัมผัส ดีไซน์สวยงามแสดงให้เห็นชั้นของคาปูชิโนของคุณ,32.99,20,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-XCllEl4RRkmmpbBmF9XHuMWI.png?st=2024-09-24T01%3A46%3A05Z&se=2024-09-24T03%3A46%3A05Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A13%3A19Z&ske=2024-09-24T23%3A13%3A19Z&sks=b&skv=2024-08-04&sig=VZRhE6Bk20dL1ASu/Xb8ws1zTRYfwRZ5s8izeZznMoc%3D
0018,เคเม็กซ์,อุปกรณ์ชงกาแฟ,เครื่องชงกาแฟพอร์โอเวอร์แก้วคลาสสิก (ความจุ 6 ถ้วย) ดีไซน์ไอคอนิกพร้อมปลอกคอไม้และเชือกหนัง ทำกาแฟที่สะอาดบริสุทธิ์โดยไม่มีรสชาติของกระดาษ,44.99,15,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-Rbp8qdjwF5CQ7QXZ1xiyya0D.png?st=2024-09-24T01%3A46%3A17Z&se=2024-09-24T03%3A46%3A17Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A08%3A55Z&ske=2024-09-24T23%3A08%3A55Z&sks=b&skv=2024-08-04&sig=%2BgjeiQCixgzADkl1KRBtee9yf372Akt55GFw4EKUk6c%3D
0019,แปรงทำความสะอาดเครื่องบดกาแฟ,อุปกรณ์เสริม,แปรงทำความสะอาดเครื่องบดกาแฟด้ามไม้ ขนแปรงธรรมชาติจากขนหมูป่าขจัดกากกาแฟอย่างมีประสิทธิภาพ จำเป็นสำหรับการรักษาประสิทธิภาพของเครื่องบด,6.99,75,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-vTKLy9Ibgz99Fq9m1AakZ1dZ.png?st=2024-09-24T01%3A46%3A29Z&se=2024-09-24T03%3A46%3A29Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A33%3A46Z&ske=2024-09-24T23%3A33%3A46Z&sks=b&skv=2024-08-04&sig=YSMOGPhVktz/oX9kdKOpeVCSXJz6OHh/rHFf9tT7icg%3D
0020,หม้อมอคค่า,อุปกรณ์ชงกาแฟ,เครื่องชงเอสเพรสโซ่แบบวางบนเตาทำจากอะลูมิเนียม (ความจุ 6 ถ้วย) ทำกาแฟที่เข้มข้นและมีรสชาติเต็ม ดีไซน์แบบอิตาลีคลาสสิก เหมาะสำหรับเตาทุกประเภทยกเว้นเตาแม่เหล็กไฟฟ้า,27.99,25,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-FCmR8hlm5CYMEMETWGps55AP.png?st=2024-09-24T01%3A46%3A40Z&se=2024-09-24T03%3A46%3A40Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A39%3A59Z&ske=2024-09-24T23%3A39%3A59Z&sks=b&skv=2024-08-04&sig=Ek/Tm/SJZzYJypvRp%2BGvRGmc45srra6YX61bywAiCOk%3D
0021,เอธิโอเปีย เยอร์กาเชฟเฟ่,เมล็ดกาแฟ,กาแฟคั่วอ่อนที่สดใสและมีรสผลไม้จากภูมิภาคเยอร์กาเชฟเฟ่ของเอธิโอเปีย มีโน้ตของบลูเบอร์รี่ ซิตรัส และดอกมะลิ ผ่านกระบวนการล้างเพื่อให้ได้รสชาติที่สะอาดและสดชื่น,16.99,30,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-8sq7SP6vdEyB3triI0eCHf5J.png?st=2024-09-24T01%3A46%3A54Z&se=2024-09-24T03%3A46%3A54Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A04%3A03Z&ske=2024-09-24T23%3A04%3A03Z&sks=b&skv=2024-08-04&sig=tb8fvozRhSYkFeJVrIYoPCPIvSBEQRky1kTc3OEELqY%3D
0022,เอธิโอเปีย เยอร์กาเชฟเฟ่,เมล็ดกาแฟ,กาแฟคั่วอ่อนที่สดใสและมีรสผลไม้จากภูมิภาคเยอร์กาเชฟเฟ่ของเอธิโอเปีย มีโน้ตของบลูเบอร์รี่ ซิตรัส และดอกมะลิ ผ่านกระบวนการล้างเพื่อให้ได้รสชาติที่สะอาดและสดชื่น,16.99,30,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-8sq7SP6vdEyB3triI0eCHf5J.png?st=2024-09-24T01%3A46%3A54Z&se=2024-09-24T03%3A46%3A54Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A04%3A03Z&ske=2024-09-24T23%3A04%3A03Z&sks=b&skv=2024-08-04&sig=tb8fvozRhSYkFeJVrIYoPCPIvSBEQRky1kTc3OEELqY%3D
